CycPeptMPDB_ID,Source,Original_Name_in_Source_Literature,Monomer_Length,Molecule_Shape,Water_avgRMSD_All,Water_avgRMSD_BackBone,Desolvation_Free_Energy,Water_3D_SASA,Water_3D_NPSA,Water_3D_PSA,Hexane_avgRMSD_All,Hexane_avgRMSD_BackBone,Hexane_3D_SASA,Hexane_3D_NPSA,Hexane_3D_PSA
1045,2015_Wang,Compound.1,6,Circle,0.150412,0.0519362,-33.1752,8.669,7.265,1.404,0.117787,0.0368999,8.825,7.42,1.405
1046,2015_Wang,Compound.2,6,Circle,0.320055,0.136462,-33.053,8.382,7.074,1.308,0.163987,0.0336558,7.952,6.73,1.222
1047,2015_Wang,Compound.3,6,Circle,0.165952,0.0417074,-29.6008,8.69,7.346,1.344,0.160866,0.0420466,8.524,7.242,1.282
1048,2015_Wang,Compound.4,6,Circle,0.174185,0.0661962,-31.9352,8.795,7.376,1.419,0.125746,0.0328488,8.469,7.336,1.133
1049,2015_Wang,Compound.5,6,Circle,0.228466,0.0919221,-39.075,8.857,7.454,1.403,0.16065,0.0360656,8.343,7.159,1.184
1050,2015_Wang,Compound.6,6,Circle,0.152267,0.0434191,-31.3922,9.014,7.686,1.328,0.20982,0.0906657,8.89,7.63,1.26
1051,2015_Wang,Compound.7,6,Circle,0.120335,0.036149,-40.5813,8.912,7.679,1.233,0.135395,0.0534484,8.503,7.304,1.199
1052,2015_Wang,Compound.8,6,Circle,0.193296,0.0649328,-35.74,9.213,7.959,1.254,0.171861,0.0446908,8.765,7.751,1.014
1053,2015_Wang,Compound.9,6,Circle,0.162913,0.0640242,-33.6929,8.931,7.758,1.173,0.127076,0.0425323,9.072,7.83,1.242
1054,2015_Wang,Compound.10,6,Circle,0.154077,0.0412441,-31.537,9.156,8.112,1.044,0.150336,0.0404104,9.37,8.27,1.1
1055,2015_Wang,Compound.11,6,Circle,0.192247,0.0645316,-30.1253,9.193,8.02,1.173,0.157823,0.0413079,9.197,8.073,1.124
1056,2015_Wang,Compound.12,6,Circle,0.177916,0.0568791,-26.3673,9.191,8.26,0.931,0.151941,0.0497355,9.186,8.346,0.84
1057,2015_Wang,Compound.13,6,Circle,0.165786,0.0384514,-29.9377,8.882,7.606,1.276,0.0935942,0.0304489,8.389,7.291,1.098
1058,2015_Wang,Compound.14,6,Circle,0.107753,0.0442384,-30.4528,8.327,7.174,1.153,0.157565,0.0378299,8.383,7.393,0.99
1059,2015_Wang,Compound.15,6,Circle,0.165702,0.030917,-26.7274,8.938,7.839,1.099,0.109925,0.0325624,8.785,7.708,1.077
1060,2015_Wang,Compound.16,6,Circle,0.21803,0.0787793,-26.1968,9.115,7.925,1.19,0.257403,0.0840264,8.945,7.751,1.194
1061,2015_Wang,Compound.17,6,Circle,0.165121,0.0615729,-29.2069,9.221,8.25,0.971,0.174226,0.0455557,9.174,8.279,0.895
1062,2015_Wang,Compound.18,6,Circle,0.194396,0.071404,-33.2044,8.533,7.343,1.19,0.156989,0.0525149,8.419,7.356,1.063
1063,2015_Wang,Compound.19,6,Circle,0.178485,0.0422343,-27.9754,9.123,7.803,1.32,0.186626,0.06091,8.696,7.58,1.116
1064,2015_Wang,Compound.20,6,Circle,0.187451,0.0475332,-40.3203,8.792,7.471,1.321,0.139743,0.0462234,8.755,7.375,1.38
1065,2015_Wang,Compound.21,6,Circle,0.112585,0.0336503,-25.1876,8.848,7.749,1.099,0.114888,0.031076,8.916,7.907,1.009
1066,2015_Wang,Compound.22,6,Circle,0.191616,0.057869,-38.0034,9.027,7.553,1.474,0.15821,0.047698,8.711,7.36,1.351
1067,2015_Wang,Compound.23,6,Circle,0.189376,0.0654083,-30.3246,9.188,7.801,1.387,0.129868,0.0443445,9.119,7.883,1.236
1068,2015_Wang,Compound.24,6,Circle,0.136943,0.0582717,-21.6769,8.419,7.307,1.112,0.114038,0.0325127,7.859,6.909,0.95
1069,2015_Wang,Compound.25,6,Circle,0.116069,0.0360056,-42.583,9.021,7.65,1.371,0.161587,0.029985,8.803,7.723,1.08
1070,2015_Wang,Compound.26,6,Circle,0.277041,0.108434,-30.2223,9.22,7.91,1.31,0.122826,0.0333412,8.903,7.76,1.143
1071,2015_Wang,Compound.27,6,Circle,0.216934,0.0859079,-31.9109,8.896,7.498,1.398,0.129231,0.0498062,8.739,7.414,1.325
1072,2015_Wang,Compound.28,6,Circle,0.307523,0.115486,-28.8466,8.539,7.279,1.26,0.164823,0.0342633,8.195,7.003,1.192
1073,2015_Wang,Compound.29,6,Circle,0.21909,0.0451905,-33.8314,9.858,8.674,1.184,0.186145,0.0433424,9.884,8.688,1.196
1074,2015_Wang,Compound.30,6,Circle,0.168194,0.0412098,-30.1441,9.337,7.949,1.388,0.115168,0.0389486,9.154,7.809,1.345
1075,2015_Wang,Compound.31,6,Circle,0.157534,0.0419977,-39.2632,9.626,8.092,1.534,0.223781,0.0843372,9.714,8.349,1.365
1076,2015_Wang,Compound.32,6,Circle,0.147526,0.0394908,-110.3888,9.083,7.518,1.565,0.270446,0.0986552,8.713,7.563,1.15
1077,2015_Wang,Compound.33,6,Circle,0.267853,0.068754,-100.0606,9.084,7.587,1.497,0.130412,0.0262093,8.74,7.608,1.132
1078,2015_Wang,Compound.34,6,Circle,0.230375,0.0876144,-46.7651,7.906,6.307,1.599,0.182522,0.0326755,7.124,5.791,1.333
1079,2015_Wang,Compound.35,6,Circle,0.20441,0.0624663,-42.555,7.621,5.973,1.648,0.126749,0.0324054,7.55,6.244,1.306
1080,2015_Wang,Compound.36,6,Circle,0.179876,0.069395,-44.2272,8.228,6.495,1.733,0.147272,0.0312171,7.563,6.262,1.301
1081,2015_Wang,Compound.37,6,Circle,0.0949649,0.0384596,-39.4393,7.342,5.799,1.543,0.162967,0.0624354,7.475,5.968,1.507
1082,2015_Wang,Compound.38,6,Circle,0.095464,0.05024,-44.2082,7.619,6.019,1.6,0.121961,0.0330259,7.434,6.099,1.335
1083,2015_Wang,Compound.39,6,Circle,0.165334,0.0404434,-45.593,7.74,6.208,1.532,0.226221,0.108287,7.274,5.906,1.368
1084,2015_Wang,Compound.40,6,Circle,0.193711,0.0782728,-41.6571,8.203,7.104,1.099,0.179094,0.0477022,8.08,6.965,1.115
1085,2015_Wang,Compound.41,6,Circle,0.152229,0.0325682,-42.2131,8.16,7.049,1.111,0.159226,0.0577221,7.922,6.733,1.189
1086,2015_Wang,Compound.42,6,Circle,0.171674,0.0629272,-39.2346,7.744,6.466,1.278,0.164503,0.0397044,7.697,6.514,1.183
1087,2015_Wang,Compound.43,6,Circle,0.119157,0.0342166,-29.4581,8.36,7.236,1.124,0.108603,0.0311487,8.378,7.257,1.121
1088,2015_Wang,Compound.44,6,Circle,0.236992,0.0976238,-43.5462,7.815,6.481,1.334,0.195342,0.059719,7.475,6.092,1.383
1089,2015_Wang,Compound.45,6,Circle,0.161809,0.0608898,-51.2654,7.943,6.623,1.32,0.161823,0.0436839,7.438,6.377,1.061
1090,2015_Wang,Compound.46,6,Circle,0.152026,0.0426173,-33.5101,7.671,6.411,1.26,0.14158,0.037721,8.039,6.81,1.229
1091,2015_Wang,Compound.47,6,Circle,0.179283,0.0467495,-37.5901,8.486,7.239,1.247,0.165362,0.046215,8.403,7.096,1.307
1092,2015_Wang,Compound.48,6,Circle,0.13318,0.0393908,-29.7608,9.251,8.067,1.184,0.196324,0.0527364,8.977,7.938,1.039
1093,2015_Wang,Compound.49,6,Circle,0.203851,0.0524626,-455.5223,10.7,8.091,2.609,0.114255,0.0321923,10.132,8.041,2.091
1094,2015_Wang,Compound.50,6,Circle,0.0844431,0.0710806,-30.1314,5.701,4.354,1.347,0.0531359,0.0358248,5.535,4.215,1.32
1095,2015_Wang,Compound.51,6,Circle,0.16579,0.0610463,-32.7881,8.777,7.405,1.372,0.170854,0.0596099,8.609,7.226,1.383
1096,2015_Wang,Compound.52,6,Circle,0.169466,0.0439529,-43.2447,7.583,6.039,1.544,0.092193,0.0365926,7.133,5.546,1.587
1097,2015_Wang,Compound.53,6,Circle,0.121197,0.0358657,-33.6441,7.499,6.065,1.434,0.105118,0.029791,7.344,6.175,1.169
1098,2015_Wang,Compound.54,6,Circle,0.123805,0.0330276,-42.8527,7.746,6.233,1.513,0.156374,0.0274836,7.322,6.053,1.269
1099,2015_Wang,Compound.55,6,Circle,0.244584,0.120208,-47.1747,7.766,6.136,1.63,0.151487,0.029184,7.437,6.131,1.306
1100,2015_Wang,Compound.56,6,Circle,0.159364,0.054935,-47.6435,7.667,6.07,1.597,0.194745,0.0754848,7.552,6.016,1.536
1101,2015_Wang,Compound.57,6,Circle,0.165238,0.0506986,-56.3562,7.83,5.5,2.33,0.159169,0.0435433,7.345,5.277,2.068
1102,2015_Wang,Compound.58,6,Circle,0.171042,0.0654515,-50.5092,7.753,6.221,1.532,0.166893,0.0571773,7.358,5.87,1.488
1103,2015_Wang,Compound.59,6,Circle,0.212928,0.0447332,-35.0731,9.334,8.134,1.2,0.152844,0.0509548,9.131,8.028,1.103
1104,2015_Wang,Compound.60,6,Circle,0.194669,0.0516233,-34.8739,9.355,8.232,1.123,0.145507,0.0425428,9.214,8.144,1.07
1105,2015_Wang,Compound.61,6,Circle,0.148783,0.0384882,-47.8753,8.035,6.67,1.365,0.132183,0.0716813,7.918,6.463,1.455
1106,2015_Wang,Compound.62,6,Circle,0.239232,0.0780769,-46.8516,8.084,6.719,1.365,0.219948,0.0893361,7.675,6.422,1.253
1134,2016_Furukawa,1.1-01,6,Circle,0.13261,0.0566967,-22.7649,7.663,6.354,1.309,0.0980843,0.0363491,7.595,6.346,1.249
1135,2016_Furukawa,1.1-02,6,Circle,0.141167,0.0587457,-18.6669,7.935,6.716,1.219,0.118741,0.0363796,7.813,6.684,1.129
1136,2016_Furukawa,1.1-03,6,Circle,0.154386,0.0572314,-23.0668,7.875,6.677,1.198,0.143095,0.0393173,7.628,6.547,1.081
1137,2016_Furukawa,1.1-04,6,Circle,0.102515,0.0410656,-18.3066,8.132,6.932,1.2,0.109055,0.0399276,8.041,6.858,1.183
1138,2016_Furukawa,1.1-05,6,Circle,0.108689,0.0404602,-22.7068,8.052,6.716,1.336,0.109432,0.0420356,7.939,6.653,1.286
1139,2016_Furukawa,1.1-06,6,Circle,0.134286,0.0586409,-21.4605,7.992,6.784,1.208,0.140768,0.0466577,8.156,6.889,1.267
1140,2016_Furukawa,1.1-07,6,Circle,0.150797,0.0533152,-23.8626,7.774,6.608,1.166,0.123983,0.035681,7.713,6.592,1.121
