CycPeptMPDB_ID,Source,SMILES,Original_Name_in_Source_Literature,Structurally_Unique_ID,PAMPA,Monomer_Length,Monomer_Length_in_Main_Chain,Molecule_Shape,Water_avgRMSD_All,Water_avgRMSD_BackBone,Desolvation_Free_Energy,Water_3D_SASA,Water_3D_NPSA,Water_3D_PSA,Hexane_avgRMSD_All,Hexane_avgRMSD_BackBone,Hexane_3D_SASA,Hexane_3D_NPSA,Hexane_3D_PSA,Water_RepFrame,Hexane_RepFrame,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9
5596,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,hepta_2019,5596,-10.0,7,7,Circle,0.143132,0.0457148,-30.6072,9.194,8.112,1.082,0.146559,0.0449517,9.191,8.059,1.132,95,81,train,train,test,train,train,train,train,train,train,train
5592,2020_Townsend,CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_2015,5592,-5.03,7,7,Circle,0.14394,0.0426254,-28.3474,9.206,8.107,1.099,0.131611,0.0400454,9.318,8.31,1.008,16,100,train,train,train,train,train,test,train,val,val,train
5591,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,hepta_2014,5591,-10.0,7,7,Circle,0.150226,0.0420687,-33.6632,9.176,8.028,1.148,0.138476,0.0413209,9.238,8.179,1.059,26,25,train,train,train,val,test,train,train,test,train,train
5590,2020_Townsend,CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_2013,5590,-5.41,7,7,Circle,0.143434,0.0520368,-26.9324,9.351,8.257,1.094,0.160116,0.0662355,9.256,8.173,1.083,18,67,train,train,train,train,train,val,train,train,train,val
5589,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,hepta_2012,5589,-5.59,7,7,Circle,0.156367,0.049306,-24.7686,9.307,8.271,1.036,0.142938,0.0388726,9.299,8.273,1.026,11,74,train,val,val,train,train,train,test,train,train,val
5586,2020_Townsend,CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_2009,5586,-5.59,7,7,Circle,0.111468,0.0371831,-30.63,9.055,7.865,1.19,0.143408,0.0411402,8.986,7.809,1.177,62,6,train,train,train,train,train,train,train,train,train,train
5585,2020_Townsend,CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_2008,5585,-5.47,7,7,Circle,0.148396,0.053326,-28.3314,8.996,7.78,1.216,0.136906,0.0372796,9.01,8.003,1.007,57,41,val,train,train,train,train,train,train,train,train,train
5584,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,hepta_2007,5584,-10.0,7,7,Circle,0.140168,0.0479619,-31.0784,9.071,7.738,1.333,0.172599,0.0542736,8.894,7.801,1.093,61,41,train,train,train,train,train,train,val,train,val,train
5583,2020_Townsend,CC(C)C[C@@H]1NC(=O)CN(Cc2ccccc2)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_2006,5583,-5.43,7,7,Circle,0.11929,0.032916,-37.7083,8.738,7.582,1.156,0.167416,0.0658778,8.769,7.658,1.111,94,46,train,test,val,train,train,train,val,train,test,train
5582,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,hepta_2005,5582,-5.32,7,7,Circle,0.169707,0.0534138,-25.3458,9.033,7.944,1.089,0.158718,0.0495871,8.912,7.908,1.004,13,96,train,train,train,train,train,train,train,val,train,train
