CycPeptMPDB_ID,Original_Name_in_Source_Literature,Source,Structurally_Unique_ID,SMILES,PAMPA,Normalized_Name,log_path,avgRMSD_all,avgRMSD_bb,Monomer_Length
1094,Compound.50,2015_Wang,1094,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,-8,Compound.50,/home/liuwei/GitHub/Data/pdb_log/2015_Wang/Compound.50.log,0.0531359,0.0358248,6
3739,hepta_162,2020_Townsend,3739,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,-5.98,hepta_162,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_162.log,0.0720362,0.0352299,7
4133,hepta_556,2020_Townsend,4133,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,-5.34,hepta_556,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_556.log,0.0739991,0.035844,7
4602,hepta_1025,2020_Townsend,4602,CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,-5.96,hepta_1025,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1025.log,0.0747424,0.0317745,7
4018,hepta_441,2020_Townsend,4018,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.73,hepta_441,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_441.log,0.0756634,0.0339622,7
4220,hepta_643,2020_Townsend,4220,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,-5.67,hepta_643,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_643.log,0.07749,0.0343654,7
4194,hepta_617,2020_Townsend,4194,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.94,hepta_617,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_617.log,0.0779549,0.0346912,7
3796,hepta_219,2020_Townsend,3796,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.82,hepta_219,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_219.log,0.0782552,0.0360066,7
4185,hepta_608,2020_Townsend,4185,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C1=O,-6.14,hepta_608,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_608.log,0.0795894,0.0348139,7
4512,hepta_935,2020_Townsend,4512,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.61,hepta_935,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_935.log,0.0799789,0.0350267,7
5550,hepta_1973,2020_Townsend,5550,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.83,hepta_1973,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1973.log,0.0809194,0.0319271,7
4826,hepta_1249,2020_Townsend,4826,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.3,hepta_1249,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1249.log,0.0816652,0.0395224,7
5084,hepta_1507,2020_Townsend,5084,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.11,hepta_1507,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1507.log,0.0818979,0.0349889,7
1607,2.3-02Me,2016_Furukawa,1607,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-5.32,2.3-02Me,/home/liuwei/GitHub/Data/pdb_log/2016_Furukawa/2.3-02Me.log,0.0832833,0.0351956,6
4449,hepta_872,2020_Townsend,4449,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.8,hepta_872,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_872.log,0.0833383,0.0365134,7
5444,hepta_1867,2020_Townsend,5444,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-10,hepta_1867,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1867.log,0.0842136,0.0319579,7
4496,hepta_919,2020_Townsend,4496,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-6.34,hepta_919,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_919.log,0.0842942,0.0330445,7
4760,hepta_1183,2020_Townsend,4760,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O,-5.38,hepta_1183,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_1183.log,0.0849599,0.0293841,7
4350,hepta_773,2020_Townsend,4350,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.35,hepta_773,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_773.log,0.0851268,0.0375095,7
4340,hepta_763,2020_Townsend,4340,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.15,hepta_763,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_763.log,0.085204,0.0430107,7
6172,L1_15.3.2.3.3.2,2021_Kelly,6172,CC(=O)N1CCC[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.44,L1_15.3.2.3.3.2,/home/liuwei/GitHub/Data/pdb_log/2021_Kelly/Kelly_6172.log,0.085212,0.0350457,10
4357,hepta_780,2020_Townsend,4357,CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](C)C(=O)N1C,-6.26,hepta_780,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_780.log,0.085272,0.0355784,7
3777,hepta_200,2020_Townsend,3777,CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.49,hepta_200,/home/liuwei/GitHub/Data/pdb_log/2020_Townsend/hepta_200.log,0.0857308,0.0385095,7
