CycPeptMPDB_ID,Original_Name_in_Source_Literature,Source,Structurally_Unique_ID,SMILES,PAMPA,Normalized_Name,log_path,avgRMSD_all,avgRMSD_bb
5549,hepta_1972,2020_Townsend,5549,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.1,hepta_1972,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1972.log,0.0733269,0.0382579
4299,hepta_722,2020_Townsend,4299,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,-5.3,hepta_722,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_722.log,0.0742264,0.0330619
3693,hepta_116,2020_Townsend,3693,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.17,hepta_116,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_116.log,0.0766553,0.0321211
4290,hepta_713,2020_Townsend,4290,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-6.61,hepta_713,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_713.log,0.0770021,0.0342827
6274,L1_2.1.4.4.3.1,2021_Kelly,6274,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-5.75,L1_2.1.4.4.3.1,/media/liuwei/1T/water/pdb_log/2021_Kelly/Kelly_6274.log,0.079588,0.0289477
4859,hepta_1282,2020_Townsend,4859,CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,-5.41,hepta_1282,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1282.log,0.0802505,0.038931
4438,hepta_861,2020_Townsend,4438,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-4.97,hepta_861,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_861.log,0.0809233,0.0324302
4215,hepta_638,2020_Townsend,4215,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-10,hepta_638,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_638.log,0.0810208,0.0353128
3893,hepta_316,2020_Townsend,3893,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-5.34,hepta_316,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_316.log,0.0812269,0.0321095
4763,hepta_1186,2020_Townsend,4763,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.08,hepta_1186,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1186.log,0.0815407,0.0321348
5084,hepta_1507,2020_Townsend,5084,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.11,hepta_1507,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1507.log,0.0818365,0.0364518
4137,hepta_560,2020_Townsend,4137,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.94,hepta_560,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_560.log,0.0821215,0.0366771
5500,hepta_1923,2020_Townsend,5500,CC(C)C[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N1C,-5.61,hepta_1923,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1923.log,0.0838271,0.0534256
5572,hepta_1995,2020_Townsend,5572,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.45,hepta_1995,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1995.log,0.0841285,0.035117
1094,Compound.50,2015_Wang,1094,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,-8,Compound.50,/media/liuwei/1T/water/pdb_log/2015_Wang/Compound.50.log,0.0844431,0.0710806
4834,hepta_1257,2020_Townsend,4834,CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,-5.03,hepta_1257,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1257.log,0.0846241,0.0361027
5567,hepta_1990,2020_Townsend,5567,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.2,hepta_1990,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1990.log,0.0858372,0.0360515
3858,hepta_281,2020_Townsend,3858,CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1C,-6.07,hepta_281,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_281.log,0.0862507,0.0392207
5271,hepta_1694,2020_Townsend,5271,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-6.14,hepta_1694,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1694.log,0.0866452,0.046856
4208,hepta_631,2020_Townsend,4208,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,-5.07,hepta_631,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_631.log,0.0869822,0.0295131
4881,hepta_1304,2020_Townsend,4881,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-5.25,hepta_1304,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1304.log,0.0870039,0.0364337
5533,hepta_1956,2020_Townsend,5533,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-5.8,hepta_1956,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1956.log,0.0871302,0.0446432
5278,hepta_1701,2020_Townsend,5278,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.77,hepta_1701,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1701.log,0.0871607,0.037971
4126,hepta_549,2020_Townsend,4126,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.08,hepta_549,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_549.log,0.0879395,0.0413472
