hepta_0_	-6.56	8.722 7.473 1.249 0.689918346 5.98318654924 10.8317165985
hepta_1000_	-5.31	8.743 7.423 1.32 0.706221221 5.62348484848 10.5108707856
hepta_1001_	-5.69	8.963 7.785 1.178 0.61541469 6.60865874363 12.6500067784
hepta_1002_	-10	8.966 7.9 1.066 0.581183235 7.41088180113 13.5929591981
hepta_1003_	-10	8.69 7.659 1.031 0.566638301 7.4287099903 13.5165589521
hepta_1004_	-5.72	8.989 7.834 1.155 0.611282312 6.78268398268 12.8156824534
hepta_1005_	-5.6	8.934 7.835 1.099 0.592300191 7.12920837125 13.2280896057
hepta_1006_	-5.37	9.1 7.79 1.31 0.705955245 5.9465648855 11.0346938495
hepta_1007_	-5.9	8.92 7.661 1.259 0.657638465 6.08498808578 11.6492577727
hepta_1008_	-5.69	8.895 7.66 1.235 0.673677196 6.2024291498 11.3704308911
hepta_1009_	-10	9.104 7.825 1.279 0.724803055 6.11806098514 10.7960361729
hepta_1010_	-6.3	8.872 7.662 1.21 0.629076945 6.33223140496 12.1797501258
hepta_1011_	-5.84	9.175 7.977 1.198 0.619933903 6.65859766277 12.8675008116
hepta_1012_	-5.18	9.083 7.885 1.198 0.642608447 6.58180300501 12.2703024475
hepta_1013_	-5.78	8.849 7.802 1.047 0.566431992 7.4517669532 13.77393952
hepta_1014_	-7.12	8.716 7.445 1.271 0.707545 5.85759244689 10.5222989351
hepta_1015_	-6.87	8.95 7.808 1.142 0.635162992 6.83712784588 12.2929076447
hepta_1016_	-6.23	9.006 7.869 1.137 0.607812367 6.92084432718 12.9464295681
hepta_1017_	-5.28	8.8 7.77 1.03 0.551062183 7.54368932039 14.1000421363
hepta_1018_	-6.41	8.425 7.311 1.114 0.624434602 6.56283662478 11.708191661
hepta_1019_	-10	8.866 7.668 1.198 0.630441345 6.40066777963 12.1629078753
hepta_101_	-5.4	8.591 7.744 0.847 0.44821704 9.14285714286 17.2773440296
hepta_1020_	-5.46	8.924 7.757 1.167 0.609162023 6.646958012 12.7338863999
hepta_1021_	-5.59	8.942 7.844 1.098 0.590449746 7.14389799636 13.2847885076
hepta_1022_	-6.56	9.177 7.921 1.256 0.71139009 6.30652866242 11.1345380142
hepta_1023_	-5.95	8.866 7.671 1.195 0.643117767 6.41924686192 11.9278309411
hepta_1024_	-6.32	8.858 7.787 1.071 0.582448498 7.27077497666 13.3694224069
hepta_1025_	-5.96	8.722 7.599 1.123 0.593978661 6.76669634907 12.7933888857
hepta_1026_	-5.11	9.029 7.837 1.192 0.614687678 6.57466442953 12.7495641779
hepta_1027_	-10	9.077 7.712 1.365 0.726822859 5.64981684982 10.6105633642
hepta_1028_	-10	9.137 7.995 1.142 0.618745528 7.00087565674 12.9213055096
hepta_1029_	-6.13	8.889 7.473 1.416 0.767191979 5.27754237288 9.74071706242
hepta_102_	-6.1	9.142 7.874 1.268 0.675944395 6.20977917981 11.648887184
hepta_1030_	-6.11	8.827 7.569 1.258 0.681965639 6.01669316375 11.0987996567
hepta_1031_	-5.88	9.16 7.826 1.334 0.723859418 5.86656671664 10.8114915761
hepta_1032_	-6.2	9.027 7.867 1.16 0.639013819 6.78189655172 12.3111578593
hepta_1033_	-10	8.644 7.223 1.421 0.776705268 5.0830401126 9.299537801
hepta_1034_	-10	9.165 7.854 1.311 0.71943697 5.99084668192 10.9168701742
hepta_1035_	-6.57	9.05 7.795 1.255 0.676607392 6.21115537849 11.5207136253
hepta_1036_	-6.64	8.465 7.133 1.332 0.715671201 5.35510510511 9.96686745259
hepta_1037_	-10	9.139 7.899 1.24 0.67212807 6.37016129032 11.7522245426
hepta_1038_	-6.25	8.969 7.937 1.032 0.54767538 7.69089147287 14.4921613968
hepta_1039_	-6.08	9.333 7.998 1.335 0.728634916 5.99101123596 10.9766905543
hepta_103_	-6.27	8.539 7.455 1.084 0.61812019 6.87730627306 12.0607611927
hepta_1040_	-5.94	8.904 7.654 1.25 0.658797954 6.1232 11.6181295851
hepta_1041_	-10	8.896 7.967 0.929 0.486791821 8.57588805167 16.3663390721
hepta_1042_	-10	9.41 8.123 1.287 0.704453651 6.31157731158 11.5309218548
hepta_1043_	-10	8.894 7.525 1.369 0.728109329 5.49671292915 10.3349863822
hepta_1044_	-10	9.275 8.026 1.249 0.673117773 6.4259407526 11.923619197
hepta_1045_	-5.57	8.981 7.761 1.22 0.670606098 6.36147540984 11.5731127754
hepta_1046_	-6.94	8.965 7.674 1.291 0.716078649 5.94422927963 10.7166999194
hepta_1047_	-4.96	9.495 8.24 1.255 0.67400733 6.56573705179 12.2253863322
hepta_1048_	-6.23	9.035 7.688 1.347 0.710354021 5.70749814402 10.822772551
hepta_1049_	-5.07	9.098 7.666 1.432 0.74545273 5.35335195531 10.2836835811
hepta_104_	-6.34	9.024 7.724 1.3 0.70801074 5.94153846154 10.9094390291
hepta_1050_	-5.15	9.146 7.717 1.429 0.74670643 5.40027991603 10.3347174873
